Warrior | floor 0 | level 3 | party 1 | gold 1670 | town_trips 0 | care_gold 0 | potions 7 | PASS
Ranger | floor 12 | level 20 | party 4 | gold 154390 | town_trips 125 | care_gold 16884 | potions 429 | PASS
Ranger | floor 13 | level 21 | party 5 | gold 172105 | town_trips 139 | care_gold 21414 | potions 450 | PASS
Ranger | floor 14 | level 23 | party 5 | gold 203605 | town_trips 163 | care_gold 29739 | potions 494 | PASS
Ranger | floor 15 | level 25 | party 5 | gold 241338 | town_trips 185 | care_gold 37974 | potions 611 | PASS
Ranger | floor 16 | level 26 | party 5 | gold 276330 | town_trips 210 | care_gold 47469 | potions 695 | PASS
Ranger | floor 17 | level 27 | party 5 | gold 306239 | town_trips 233 | care_gold 57039 | potions 767 | PASS
Cleric | floor 0 | level 3 | party 1 | gold 1971 | town_trips 2 | care_gold 39 | potions 13 | PASS
Cleric | floor 1 | level 4 | party 1 | gold 3458 | town_trips 3 | care_gold 63 | potions 22 | PASS
Cleric | floor 2 | level 5 | party 1 | gold 6295 | town_trips 10 | care_gold 255 | potions 34 | PASS
Cleric | floor 3 | level 6 | party 2 | gold 9117 | town_trips 15 | care_gold 453 | potions 45 | PASS
Cleric | floor 4 | level 8 | party 2 | gold 18046 | town_trips 31 | care_gold 1383 | potions 87 | PASS
Cleric | floor 5 | level 10 | party 2 | gold 27083 | town_trips 50 | care_gold 2649 | potions 122 | PASS
Cleric | floor 6 | level 11 | party 2 | gold 36408 | town_trips 73 | care_gold 4452 | potions 141 | PASS
Cleric | floor 7 | level 12 | party 3 | gold 46099 | town_trips 88 | care_gold 6174 | potions 169 | PASS
Cleric | floor 8 | level 14 | party 3 | gold 59258 | town_trips 110 | care_gold 9123 | potions 206 | PASS
Cleric | floor 9 | level 16 | party 4 | gold 77239 | town_trips 126 | care_gold 12060 | potions 275 | PASS
Cleric | floor 10 | level 17 | party 4 | gold 100789 | town_trips 142 | care_gold 15297 | potions 377 | PASS
Cleric | floor 11 | level 19 | party 4 | gold 119612 | town_trips 155 | care_gold 18312 | potions 428 | PASS
Cleric | floor 12 | level 20 | party 4 | gold 148493 | town_trips 167 | care_gold 21312 | potions 492 | PASS
Cleric | floor 13 | level 21 | party 5 | gold 163335 | town_trips 188 | care_gold 28152 | potions 534 | PASS
Cleric | floor 14 | level 23 | party 5 | gold 190993 | town_trips 220 | care_gold 38907 | potions 591 | PASS
Cleric | floor 15 | level 25 | party 5 | gold 229000 | town_trips 241 | care_gold 46767 | potions 726 | PASS
Cleric | floor 16 | level 26 | party 5 | gold 263579 | town_trips 265 | care_gold 55872 | potions 824 | PASS
Cleric | floor 17 | level 27 | party 5 | gold 292970 | town_trips 289 | care_gold 65877 | potions 942 | PASS
Rogue | floor 0 | level 3 | party 1 | gold 1691 | town_trips 0 | care_gold 0 | potions 9 | PASS
Rogue | floor 1 | level 4 | party 1 | gold 3841 | town_trips 3 | care_gold 72 | potions 19 | PASS
Rogue | floor 2 | level 5 | party 1 | gold 6496 | town_trips 6 | care_gold 153 | potions 31 | PASS
Rogue | floor 3 | level 6 | party 2 | gold 9366 | town_trips 9 | care_gold 285 | potions 52 | PASS
Rogue | floor 4 | level 8 | party 2 | gold 18439 | town_trips 22 | care_gold 1044 | potions 93 | PASS
Rogue | floor 5 | level 10 | party 2 | gold 27570 | town_trips 40 | care_gold 2253 | potions 134 | PASS
Rogue | floor 6 | level 11 | party 2 | gold 36862 | town_trips 62 | care_gold 3981 | potions 166 | PASS
Rogue | floor 7 | level 12 | party 3 | gold 46423 | town_trips 78 | care_gold 5898 | potions 197 | PASS
Rogue | floor 8 | level 14 | party 3 | gold 60107 | town_trips 96 | care_gold 8187 | potions 243 | PASS
Rogue | floor 9 | level 16 | party 4 | gold 78044 | town_trips 112 | care_gold 11112 | potions 312 | PASS
Rogue | floor 10 | level 17 | party 4 | gold 101067 | town_trips 132 | care_gold 15396 | potions 377 | PASS
Rogue | floor 11 | level 19 | party 4 | gold 120624 | town_trips 144 | care_gold 18180 | potions 437 | PASS
Rogue | floor 12 | level 20 | party 4 | gold 148778 | town_trips 158 | care_gold 21678 | potions 496 | PASS
Rogue | floor 13 | level 21 | party 5 | gold 163277 | town_trips 181 | care_gold 28923 | potions 528 | PASS
Rogue | floor 14 | level 23 | party 5 | gold 191759 | town_trips 213 | care_gold 39678 | potions 579 | PASS
Rogue | floor 15 | level 25 | party 5 | gold 229162 | town_trips 235 | care_gold 47883 | potions 719 | PASS
Rogue | floor 16 | level 26 | party 5 | gold 263403 | town_trips 259 | care_gold 56988 | potions 810 | PASS
Rogue | floor 17 | level 27 | party 5 | gold 292856 | town_trips 282 | care_gold 66573 | potions 922 | PASS
Paladin | floor 0 | level 3 | party 1 | gold 1670 | town_trips 0 | care_gold 0 | potions 12 | PASS
Paladin | floor 1 | level 4 | party 1 | gold 3511 | town_trips 1 | care_gold 24 | potions 19 | PASS
Paladin | floor 2 | level 5 | party 1 | gold 6408 | town_trips 2 | care_gold 51 | potions 28 | PASS
Paladin | floor 3 | level 6 | party 2 | gold 9568 | town_trips 7 | care_gold 285 | potions 42 | PASS
Paladin | floor 4 | level 8 | party 2 | gold 18428 | town_trips 27 | care_gold 1455 | potions 78 | PASS
Paladin | floor 5 | level 10 | party 2 | gold 27209 | town_trips 49 | care_gold 2940 | potions 106 | PASS
Paladin | floor 6 | level 11 | party 2 | gold 37172 | town_trips 64 | care_gold 4113 | potions 142 | PASS
Paladin | floor 7 | level 12 | party 3 | gold 46275 | town_trips 83 | care_gold 6327 | potions 172 | PASS
Paladin | floor 8 | level 14 | party 3 | gold 59454 | town_trips 104 | care_gold 9144 | potions 215 | PASS
Paladin | floor 9 | level 16 | party 4 | gold 77102 | town_trips 123 | care_gold 12795 | potions 271 | PASS
Paladin | floor 10 | level 17 | party 4 | gold 100295 | town_trips 142 | care_gold 16653 | potions 348 | PASS
Paladin | floor 11 | level 19 | party 4 | gold 119119 | town_trips 157 | care_gold 20142 | potions 394 | PASS
Paladin | floor 12 | level 20 | party 4 | gold 147564 | town_trips 171 | care_gold 23385 | potions 453 | PASS
Paladin | floor 13 | level 21 | party 5 | gold 161297 | town_trips 196 | care_gold 31545 | potions 486 | PASS
Paladin | floor 14 | level 23 | party 5 | gold 190286 | town_trips 227 | care_gold 41940 | potions 531 | PASS
Paladin | floor 15 | level 25 | party 5 | gold 227864 | town_trips 249 | care_gold 50160 | potions 657 | PASS
Paladin | floor 16 | level 26 | party 5 | gold 261431 | town_trips 275 | care_gold 60030 | potions 737 | PASS
Paladin | floor 17 | level 27 | party 5 | gold 291215 | town_trips 298 | care_gold 69630 | potions 839 | PASS
Warlock | floor 0 | level 3 | party 1 | gold 1691 | town_trips 0 | care_gold 0 | potions 7 | PASS
Warlock | floor 1 | level 4 | party 1 | gold 3224 | town_trips 1 | care_gold 24 | potions 13 | PASS
Warlock | floor 2 | level 5 | party 1 | gold 5873 | town_trips 2 | care_gold 51 | potions 20 | PASS
Warlock | floor 3 | level 6 | party 2 | gold 8630 | town_trips 8 | care_gold 330 | potions 27 | PASS
Warlock | floor 4 | level 8 | party 2 | gold 17650 | town_trips 27 | care_gold 1431 | potions 72 | PASS
Warlock | floor 5 | level 10 | party 2 | gold 26804 | town_trips 44 | care_gold 2565 | potions 107 | PASS
Warlock | floor 6 | level 11 | party 2 | gold 36253 | town_trips 64 | care_gold 4125 | potions 125 | PASS
Warlock | floor 7 | level 12 | party 3 | gold 46130 | town_trips 78 | care_gold 5724 | potions 158 | PASS
Warlock | floor 8 | level 14 | party 3 | gold 59392 | town_trips 98 | care_gold 8409 | potions 194 | PASS
Warlock | floor 9 | level 16 | party 4 | gold 77006 | town_trips 117 | care_gold 12072 | potions 255 | PASS
Warlock | floor 10 | level 17 | party 4 | gold 100411 | town_trips 135 | care_gold 15723 | potions 350 | PASS
Warlock | floor 11 | level 19 | party 4 | gold 119435 | town_trips 149 | care_gold 18981 | potions 411 | PASS
Warlock | floor 12 | level 20 | party 4 | gold 148182 | town_trips 161 | care_gold 21738 | potions 479 | PASS
Warlock | floor 13 | level 21 | party 5 | gold 163406 | town_trips 181 | care_gold 28248 | potions 519 | PASS
Warlock | floor 14 | level 23 | party 5 | gold 192629 | town_trips 211 | care_gold 38298 | potions 557 | PASS
Warlock | floor 15 | level 25 | party 5 | gold 229186 | town_trips 235 | care_gold 47268 | potions 696 | PASS
Warlock | floor 16 | level 26 | party 5 | gold 261521 | town_trips 263 | care_gold 57963 | potions 792 | PASS
Warlock | floor 17 | level 27 | party 5 | gold 290935 | town_trips 287 | care_gold 67983 | potions 916 | PASS
